ExamNumber,Student'sName,Agriculture,Bible Knowledge,Biology,Chemistry,Chichewa,English,Geography,History,Mathematics,Physics,Social/Life
STU001,Student 1,76,69,73,71,79,78,74,66,81,80,84
STU002,Student 2,77,70,74,70,78,77,75,67,80,81,83
STU003,Student 3,78,68,75,71,80,78,76,68,79,79,82
STU004,Student 4,79,69,72,70,79,77,77,65,78,80,85
STU005,Student 5,75,70,73,71,78,78,73,66,82,81,84
STU006,Student 6,76,68,74,70,80,77,74,67,81,79,83
STU007,Student 7,77,69,75,71,79,78,75,68,80,80,82
STU008,Student 8,78,70,72,70,78,77,76,65,79,81,85
STU009,Student 9,79,68,73,71,80,78,77,66,78,79,84
STU0010,Student 10,75,69,74,70,79,77,73,67,82,80,83
